event,parameter,station,date,min,max,mean,median,total,station_name
Matthew,totpar,delsjmet,2016-10-11,0,1281.6,361.548958333333,0.7,34708.7,Saint Jones River (SJ)
Matthew,totpar,delsjmet,2016-10-12,0,0,0,0,0,Saint Jones River (SJ)
Matthew,totprcp,delsjmet,2016-10-06,0,0,0,0,0,Saint Jones River (SJ)
Matthew,totprcp,delsjmet,2016-10-07,0,0,0,0,0,Saint Jones River (SJ)
Matthew,totprcp,delsjmet,2016-10-08,0,0.0393700787401575,0.00516732283464567,0,0.496062992125984,Saint Jones River (SJ)
Matthew,totprcp,delsjmet,2016-10-09,0,0.0984251968503937,0.0200951443569554,0.0118110236220472,1.92913385826772,Saint Jones River (SJ)
Matthew,totprcp,delsjmet,2016-10-10,0,0,0,0,0,Saint Jones River (SJ)
Matthew,totprcp,delsjmet,2016-10-11,0,0,0,0,0,Saint Jones River (SJ)
Matthew,totprcp,delsjmet,2016-10-12,0,0,0,0,0,Saint Jones River (SJ)
Matthew,wdir,delsjmet,2016-10-06,3,359,95.7894736842105,39.5,NA,Saint Jones River (SJ)
Matthew,wdir,delsjmet,2016-10-07,15,353,87.7604166666667,88,NA,Saint Jones River (SJ)
Matthew,wdir,delsjmet,2016-10-08,0,358,64.1354166666667,27.5,NA,Saint Jones River (SJ)
Matthew,wdir,delsjmet,2016-10-09,0,360,75.375,8,NA,Saint Jones River (SJ)
Matthew,wdir,delsjmet,2016-10-10,1,356,278.802083333333,324,NA,Saint Jones River (SJ)
Matthew,wdir,delsjmet,2016-10-11,5,357,201.9375,289.5,NA,Saint Jones River (SJ)
Matthew,wdir,delsjmet,2016-10-12,0,329,204.764705882353,269,NA,Saint Jones River (SJ)
Matthew,wspd,delsjmet,2016-10-06,1.78955348155144,6.71082555581791,4.17366256059202,4.25018951868468,NA,Saint Jones River (SJ)
Matthew,wspd,delsjmet,2016-10-07,0.22369418519393,6.26343718543005,2.94763691948252,2.9080244075211,NA,Saint Jones River (SJ)
Matthew,wspd,delsjmet,2016-10-08,0.447388370387861,6.48713137062398,2.53054047000634,2.34878894453627,NA,Saint Jones River (SJ)
Matthew,wspd,delsjmet,2016-10-09,2.2369418519393,13.8690394820237,8.85922179278462,8.50037903736936,NA,Saint Jones River (SJ)
Matthew,wspd,delsjmet,2016-10-10,0.447388370387861,10.5136267041147,4.56242931885121,4.47388370387861,NA,Saint Jones River (SJ)
Matthew,wspd,delsjmet,2016-10-11,0.22369418519393,6.03974300023612,2.42568382069668,2.46063603713324,NA,Saint Jones River (SJ)
Matthew,wspd,delsjmet,2016-10-12,0,0.671082555581791,0.28948659260391,0.22369418519393,NA,Saint Jones River (SJ)
